School ID	Course ID	Course Name	Departments	Term	Year	Level	Special Topic	Description	Syllabus	Text IDs	PreReqs	Concepts
12	PHGN 498A/519	FUNDAMENTALS OF QUANTUM INFORMATION	PHYS	Fall	2020	UG, GR	Yes, No	This course serves as a broad introduction to quantum information science, open to students from many backgrounds. The basic structure of quantum mechanics (Hilbert spaces, operators, wavefunctions, entanglement, superposition, time evolution) is presented, as well as a number of important topics relevant to current quantum hardware (including oscillating fields, quantum noise, and more). Finally, we will survey the gate model of quantum computing, and study the critical subroutines which provide the promise of a quantum speedup in future quantum computers.			Linear Algebra	quantum mechanics, quantum information, physical implementation, quantum gates, quantum computing
13	COMS W4281	Introduction to Quantum Computing	CS			UG, GR	No	Introduction to quantum computing. Shor's factoring algorithm, Grover's database search algorithm, the quantum summation algorithm. Relationship between classical and quantum computing. Potential power of quantum computers.			Linear Algebra	quantum computing, quantum algorithms, Shor's algorithm, Grover's algorithm, quantum summation algorithm, quantum complexity
13	COMS E 6998	Quantum Computing Thry Pract	CS			GR	Yes					
14	PHYS 4481/7681/CS 4812	Quantum Information Processing	PHYS, CS	Fall	2020	UG, GR	No	Hardware that exploits quantum phenomena can dramatically alter the nature of computation. Though constructing a working quantum computer is a formidable technological challenge, the theory of quantum computation is of interest in itself, offering strikingly different perspectives on the nature of computation and information, as well as providing novel insights into the conceptual puzzles posed by the quantum theory. The course is intended both for physicists, unfamiliar with computational complexity theory or cryptography, and for computer scientists and mathematicians familiar with some aspects of quantum mechanics. Topics include: simple quantum algorithms, error correction, cryptography, superdense coding, teleportation, and other forms of quantum information processing, and recent experimental advances.	https://courses.cit.cornell.edu/physics4481-7681_2018fa/	4, 1	Quantum Physics	quantum computation, quantum information, quantum computers, quantum algorithms, error correction, quantum cryptography, superdense coding, teleportation, qubits, quantum gates, quantum states, entanglement, quantum measurement, no cloning theorem, Deutsch's algorithm, Deutsch-Jozsa algorithm, Bernstein-Vazirani algorithm, Simon's algorithm, Shor's algorithm, Grover's algorithm, quantum algorithms, Bell states, quantum tomography, quantum Fourier transform, quantum supremacy, quantum complexity, fault tolerance,
15	PHYS 75	Quantum Computation and Information	PHYS	Spring	2019	UG	No	Overview of basic ideas in classical and quantum computation. Concepts and physical realizations of quantum bits (qubits). Topics in quantum computation may include the Deutsch-Jozsa, quantum Fourier transform, Shor factorization and Grover search algorithms. Topics in quantum communication include quantum key distribution schemes and quantum teleportation. Issues relating to the foundations and interpretations of quantum mechanics will be revisited throughout the course.			Quantum Physics, Linear Algebra	quantum mechanics, quantum computation, qubits, quantum algorithms, Deutsch-Jozsa algorithm, quantum Fourier transform, Shor's algorithm, Grover's algorithm, quantum communication, teleportation, quantum cryptography
15	PHYS 116	Quantum Computation and Information	PHYS	Spring	2020	GR	No	An introduction to some of the active research areas on quantum information science, from a physics perspective. While the final choice and balance will be adjusted to actual demand and interest, special emphasis will be devoted to: Quantum algorithms for efficient search, factoring, and quantum simulation; theory and applications of entanglement; methods for quantum control and error correction; physical implementations of quantum information processing.		1	Quantum Physics, Quantum Information	quantum information, quantum algorithms, Grover's algorithm, Shor's algorithm, entanglement, error correction, physical implementation
16	EEC289L	Quantum Information Technologies	ENG	Winter	2020	GR	Yes	Concepts and formalism of quantum information theory, principles of quantum communication, computing and sensing, physical implementations of quantum information technologies, hands-on programming of a quantum computer on the cloud.	https://www.ece.ucdavis.edu/wp-content/uploads/2019/10/EEC289L_Radulaski_Winter-2020.pdf	1,6	Linear Algebra	quantum information, quantum communication, quantum computing, physical implementation, programming, quantum computers, quantum mechanics, superposition, entanglement, no cloning theorem, quantum sensing, Qiskit
17	ECE 523	Quantum Information Science	ENG	Fall	2019	GR	No	Fundamental concepts and progress in quantum information science. Quantum circuits, quantum universality theorem, quantum algorithms, quantum operations and quantum error correction codes, fault-tolerant architectures, security in quantum communications, quantum key distribution, physical systems for realizing quantum logic, quantum repeaters and long-distance quantum communication	https://sites.duke.edu/marvian/ece523/	1,7	Quantum Physics	quantum information, quantum gates, quantum circuits, quantum universality theorem, quantum algorithms, quantum operations, error correction, fault tolerance, security in quantum communications, quantum cryptography, physical implementation, quantum repeaters, quantum communication, partial trace, density operators, Schmidt decomposition, superdense coding, quantum Fourier transform, phase estimation, Shor's algorithm, Grover's algorithm, HHL algorithm, quantum algorithms
17	ECE 495/590	Introduction to Quantum Engineering	ENG	Fall	2019	UG, GR	Yes				Waves/Signals, Linear Algebra	
17	ECE 590	Quantum Error Correction	ENG	Spring	2020	GR	Yes	This course will examine current methods for quantum error correction and fault-tolerant quantum computation and how these methods inform the design of quantum computer architectures. Topics covered include stabilizer formalism, Calderbank-Shor-Steane codes, concatenated codes, topological codes, magic state distillation, quantum code switching, and modular architectures enabled by quantum teleportation.			Quantum Engineering, Quantum Physics, Linear Algebra	error correction, fault tolerance, quantum computation, quantum computers, physical implementation, stabilizer formalism, Calderbank-Shor-Steane codes, concatenated codes, topological codes, magic state distillation, quantum code switching, teleportation
17	ECE 590	Quantum Information Science II	ENG	Spring	2020	GR	Yes	The main focus of this course is Quantum Information theory. It covers topics such as open quantum systems and quantum channels, qubit noise models, fidelity, measures of distinguishability, quantum entropy, quantum mutual information, data processing inequalities, quantum data compression, capacities of quantum channels, and entanglement theory.	https://sites.duke.edu/marvian/quantum-information-science-ii/	1,5		quantum information, quantum channels, qubits, entropy, quantum mutual information, quantum data compression, entanglement, decoherence, Von Neumann entropy, Holevo information, Schumacher compression
18	CS584	Structure of Information Networks	CS	Fall	2020	GR	Yes	This course will explore the fundamentals of Quantum Computing. Quantum computers have the potential to efficiently solve certain problems that are intractable for traditional classical computers. Topics include: fundamental models of quantum computing, reversible computing, qubits, entanglement and non-locality, quantum protocols, quantum circuits; simple quantum algorithms, quantum Fourier transform, Shor factoring algorithm, Grover search algorithm, quantum error correction			Algorithms, Linear Algebra	quantum computing, quantum computers, qubits, entanglement, non-locality, quantum protocols, quantum circuits, quantum gates, quantum algorithms, quantum Fourier transform, Shor's algorithm, Grover's algorithm, error correction
18	PHYS380/731R	Quantum Computin and Information	PHYS	Spring	2020	UG, GR	Yes	An introduction to qubits, quantum gates, quantum circuits, quantum key distribution, quantum teleportation, quantum dense coding, Grover's search algorithm, Shor's factoring algorithm, quantum entanglement and Bell's theorem, and quantum error correction	http://www.physics.emory.edu/faculty/brody/syllabus%202020.pdf	8,9	Linear Algebra	qubits, quantum gates, quantum circuits, quantum cryptography, teleportation, superdense coding, Grover's algorithm, Shor's algorithm, entanglement, Bell's theorem, error correction, quantum algorithms, Bell's Theorem, density operators
19	PHYS 334/534	Introduction to Quantum Computation and Quantum Information	PHYS	Fall	2020	UG, GR	No	Introduction to the basic components of quantum computing (qubit, quantum gates, and quantum circuits, entanglement, the non-cloning theorem, dense coding, and quantum teleportation, including physical implementation), as well as quantum algorithms, such as Deutsch-Jozsa, Bernstein-Varirani, Simon's, Shor's, and Grover's algorithms, and quantum error correction code. Quantum coding of these algorithms will be run on an IBMq	http://ezhao.spacs.gmu.edu/qc/	10	Modern Physics, Linear Algebra	Qiskit, programming, quantum computing, qubits, quantum gates, quantum circuits, entanglement, no cloning theorem, superdense coding, teleportation, physical implementation, quantum algorithms, Deutsch-Jozsa algorithm, Bernstein-Vazirani algorithm, Simon's algorithm, Shor's algorithm, Grover's algorithm, error correction, Dirac notation, quantum measurement, quantum mechanics, Bell's theorem, Walsh–Hadamard algorithm, quantum supremacy, superconducting qubits, ion traps
20	MATH/PHYS 4782	Quantum Information and Quantum Computing	MATH, PHYS	Fall		UG	No	Introduction to quantum computing and quantum information theory, formalism of quantum mechanics, quantum gates, algorithms, measurements, coding, and information. Physical realizations and experiments.		1	Calculus	quantum computing, quantum information, quantum mechanics, quantum gates, quantum algorithms, quantum measurement, physical implementation
20	ECE 8863	Quantum Computing Devices and Hardware	ENG	Fall	2019	GR	Yes	A quantum computer is built upon the quantum rather than classical nature of devices that can solve computational problems intractable on even the most powerful supercomputers , and on any future classical computers. Major technology companies including IBM, Google, Intel and start-ups such as Rigetti and IonQ are racing towards demonstration of quantum computers with an increasing number of entangled qubits. In the backdrop of massive investments in quantum computing in China and Europe, the US government has recently announced the National Quantum Information Act (NQIA) and the Quantum Computing Research Act (DoD). This course is focused on providing an engineering-oriented treatise of the fundamental building blocks of quantum computers–the quantum computing devices. The topics will include the physics of quantum computing, different quantum bit (qubit) technologies (ion trap/superconducting/semiconductor spin qubits), full hardware and system level aspects, the state-of-the-art, challenges and outlook of the paradigm. A primary outcome of the course will be to introduce graduate students from electrical and computer, physics, materials science and any other related disciplines to this field, to foster quantum research activities on campus, and to create a pipeline of highly skilled quantum engineers in the workforce.	https://cpb-us-w2.wpmucdn.com/sites.gatech.edu/dist/8/675/files/2019/03/ECE8863-2019fall.pdf	1,10		quantum computers, quantum computing, qubits, physical implementation, superposition, entanglement, coherence, quantum algorithms, Shor's algorithm, Deutsch-Jozsa algorithm, quantum information, quantum gates, quantum sensing, Qiskit, ion traps, superconducting qubits
21	QISC 530	Foundations of Quantum Information Science	Other	Summer	2020	GR	No	This course introduces the student to conversational aspects of the theories and concepts underlying quantum computers and how information can now be processed in ways previously impossible using traditional computing devices. The course acquaints the student with essential topics underlying the relevant physical, mathematical, and computer-sciences, necessary to navigate the technologies and problem-sets within quantum paradigm. Moreover, the technological, ideological, and social eco-systems engaged in quantum computing, past and present, are highlighted for the student. In this course the student will be introduced to practical aspects of quantum computing through limited hands-on experience with a quantum computer.				quantum computing, quantum computers, quantum information, programming
21	QISC 550	Programming Quantum Computers	Other	Fall	2020	GR	No	This course reorients the student to a different way of solving real-world modeling problems by using a quantum computer. This is a hands-on programming course which features programming and problem solving on various quantum computer platforms, involving multiple quantum programming languages and techniques. A survey of the quantum hardware options is undertaken, and some areas of current research are introduced.			Quantum Information	quantum computing, quantum computers, programming
21	QISC 555	Implementation Technologies in Quantum Devices	Other	Summer	2020	GR	No	This course introduces a wide range of scientific ideas, engineering techniques, and manufacturing technologies employed in harnessing quantum physics to create quantum devices; such as quantum clocks, computers, sensors, and the quantum internet. This is a topical-survey course that presents the terminology and basic principles underlying the theoretical and practical aspects of these devices. The student will be presented with the historical context and trajectory of important innovations and be brought up to date with the present state of these underlying technologies. At the conclusion of this course the student will be wholly conversant in the present challenges in the development of these devices, supported by a student-produced whitepaper, accompanied by the production of a video presentation.			Quantum Information	quantum clocks, quantum sensors, quantum computation
21	QISC 565	The Business of Quantum Technologies, Research and Policies	Other	Summer	2020	GR	No	This course surveys the historic and present-day business, governmental and academic landscape of quantum technologies and the associated ecosystem of the industry. An in-depth analysis of the quantum ecosystem (industrial, governmental, and academic) will be conducted leading to formation of individualistic projections of the industry, including a survey of opportunities and pitfalls for players in the ecosystem. Moreover, the student will be guided in developing a personalized document consisting of a meaningful business plan or research proposal that describes their projected entry into the quantum technology ecosystem; this proposal will be enhanced by the student creating a video presentation to accompany their document.			Quantum Information	
21	QISC 570	Algorithms and Applications of Quantum Computing	Other	Summer	2020	GR	No	This course focuses the student on the application of quantum computing on solving and simulating various natural, real-world problems that are impossible to solve using traditional computers. Several complex, but quantum-solved, algorithms will be explored in their raw and in their quantum-program-coded forms, e.g, RSA encryption-breaking and the traveling-salesman problem. Throughout the course, the student will be applying their quantum computer programming skills to modeling and solving complex problems that they conceive, code, and debug.			Quantum Programming	quantum computing, quantum computers, programming, quantum cryptography, Shor's algorithm, quantum algorithms
21	QISC 575	Emerging Topics in Quantum Information Science	Other	Fall	2020	GR	Yes	This course involves a deep-dive into a selection of technological topics according to the near-term urgencies in the advancement of the quantum information sciences. These topics will be explored in depth so the student cam recognize and understand the underlying issues, technological challenges and business opportunities brought about by the topic. In addition - under the professor's guidance - each student will self-select an additional emerging topic for self-exploration, leading to a composition of a meaningful academic manuscript, whitepaper, or video presentation.			Quantum Programming	quantum information
22	2.111/8.370/18.435	Quantum Computing	PHYS, ENG, CS	Fall	2020	UG, GR	No	Provides an introduction to the theory and practice of quantum computation. Topics covered: physics of information processing; quantum algorithms including the factoring algorithm and Grover's search algorithm; quantum error correction; quantum communication and cryptography. Knowledge of quantum mechanics helpful but not required.				quantum computation, quantum algorithms, Shor's algorithm, Grover's algorithm, error correction, quantum communication, quantum cryptography
22	ENG-SCI 274	Quantum Devices	ENG	Fall	2020	UG, GR	No	The focus of this course are quantum devices that have revolutionized the field of information science and technology. Particular emphasis this year will be on optical devices and communication technology. First, quantum devices that have enabled development of internet will be discussed, including semiconductor lasers, modulators and photo-detectors. Next, emerging quantum devices that will lead to so-called “second quantum revolution” and development of quantum internet and quantum computers will be introduced. These include single-photon sources and detectors, quantum memories, physical implementations of quantum gates, etc.. Topics that will be covered include quantum dots, color centers in solids, trapped ions and atoms, photon pair generation, quantum teleportation, quantum cryptography and quantum repeaters. The course is a mixture of quantum mechanics, semiconductor device physics, nanophotonics, quantum electronics and quantum optics.			Quantum Physics	quantum devices, quantum computers, quantum gates, quantum dots, ion traps, photon pair generation, teleportation, quantum cryptography, quantum repeaters, quantum mechanics
23	PHYS 84	Quantum Information	PHYS	Spring	2019	UG	No	Quantum computation and communication. Fundamentals of discrete-state quantum mechanics as appropriate for quantum information science. Possible topics include universal logic gates for quantum computing, quantum computing algorithms, quantum error correction, quantum cryptography and communication, adiabatic quantum computing, and hardware platforms for quantum computation and communication.			E&M, Linear Algebra	quantum computation, quantum communication, quantum gates, quantum computing, quantum algorithms, error correction, quantum cryptography, physical implementation
24	PHYS 555	Quantum Computation and Information	PHYS	Spring	2020	GR	No	The course covers basic concepts in quantum computation and information including: standard qubit model of computation, quantum algorithms such as Shor's factoring and Grover's search algorithms, physics of information processing, quantum error correction, and physical implementations of quantum computers.				quantum computation, quantum information, qubits, quantum algorithms, Shor's algorithm, Grover's algorithm, error correction, physical implementation, quantum computers
24	MATH/PHYS 455	Quantum Computing I	PHYS, MATH			UG, GR	No	Covers the interdisciplinary field of quantum information science and aims at senior undergraduate and graduate students majoring in computer science, physics, mathematics, philosophy, and chemistry. Quantum Information Science is the study of storing, processing, and communicating information using quantum systems.			Calculus, Linear Algebra	quantum information, quantum computing, quantum communication
24	MATH/PHYS 456	Quantum Computing II	PHYS, MATH			UG, GR	No	Covers the interdisciplinary field of quantum information science and aims at senior undergraduate and graduate students majoring in computer science, physics, mathematics, philosophy, and chemistry. Quantum Information Science is the study of storing, processing, and communicating information using quantum systems.			Calculus, Linear Algebra, Quantum Information	quantum information, quantum computing, quantum communication
25	PHYS 422/522	Foundations of Quantum Computing	PHYS	Spring	2021	UG, GR	Yes	Overview of quantum computation and quantum information processing from a physics perspective. Introduction to classical computation; primer on quantum mechanics; quantum circuits and quantum algorithms; physical realizations; applications and near-term quantum algorithms.			Linear Algebra	quantum computation, quantum information, quantum mechanics, quantum circuits, quantum gates, quantum algorithms, physical implementation
26	605.728	Quantum Computation	PHYS	Fall	2020	GR	No	Scalable quantum computers aren't here yet. But recent progress suggests they may be on their way, and that it is now time to start planning for their potential impact: NSA announced in 2015 a shift in focus from elliptic curve to quantum resistant cryptography, and NIST has initiated a large-scale study of postquantum cryptography. This course provides an introduction to quantum computation for computer scientists: the focus is on algorithms rather than physical devices, and familiarity with quantum mechanics (or any physics at all) is not a prerequisite. Instead, pertinent aspects of the quantum mechanics formalism are developed as needed in class. The course begins with an introduction to the QM formalism. It then develops the abstract model of a quantum computer, and discusses how quantum computers enable us to achieve, for some problems, a significant speedup (in some cases an exponential speedup) over any known classical algorithm. This discussion provides the basis for a detailed examination of quantum integer factoring, quantum search, and other quantum algorithms. The course also explores quantum error correction, quantum teleportation, and quantum cryptography. It concludes with a glimpse at what the cryptographic landscape will look like in a world with quantum computers. Required work includes problem sets and a research project. Prerequisite(s): Some familiarity with linear algebra and with the design and analysis of algorithms.	https://apps.ep.jhu.edu/course-homepages/2782-605.728-quantum-computation-zaret	10	Linear Algebra, Algorithms	quantum computation, quantum algorithms, quantum mechanics, quantum computers, Shor's algorithm, Grover's algorithm, quantum algorithms, error correction, teleportation, quantum cryptography, Deutsch's algorithm, quantum gates, quantum circuits, Deutsch-Jozsa algorithm
27	PHYS/CMP 320	Quantum Computer Science	PHYS, CS	Spring	2018	UG	No	An elementary introduction to quantum information science and quantum computing for majors in computer science, physics, and mathematics. The linear algebra of quantum mechanics, bits versus qubits, quantum cryptography, quantum teleportation, quantum gates and quantum computing, the Grover search algorithm.			Linear Algebra	quantum information, quantum computation, quantum mechanics, qubits, quantum cryptography, teleportation, quantum gates, quantum computing, Grover's algorithm, quantum algorithms
28	PHYS 7347	Quantum Information Theory	PHYS	Fall	2019	GR	No	Classical and quantum methods for data compression and communication over channels; measurement theory and entropy.				quantum information, quantum communication, quantum channels, quantum measurement, entropy
28	PHYS 7348	Quantum Computation	PHYS	Spring	2020	GR	No	Turing machines, classical and quantum models of computation, NP-completeness, theorems and algorithms for quantum computation.				Turing machines, quantum computation, quantum algorithms, quantum complexity
29	PHYS 323	Introduction to Quantum Computation	PHYS	Fall	2019	UG	No	Introduction to quantum information and quantum computation, including basic concepts in quantum physics and the algebra required for their use in this context. Topics include cloning, cryptography, teleportation, and quantum algorithms. No prior knowledge of quantum physics or linear algebra is assumed.	https://physics.mercer.edu/curriculum/syllabi/phy320balduz(s17)QComp.pdf	10,11	Calculus, Intro Physics	quantum information, quantum computation, quantum physics, no cloning theorem, quantum cryptography, teleportation, quantum algorithms, Dirac notation, Shor's algorithm, Grover's algorithm, coherence, decoherence, entanglement, quantum communication, quantum gates, error correction, quantum measurement, Bell's theorem, qubits, fault tolerance
30	PHYS 0333	Quantum Computing	PHYS	Fall	2019	UG	No	In this course we will explore how quantum mechanics can be applied to problems in communications, algorithms, detection, and cryptography. We will learn how features such as entanglement, superposition, and no-cloning can sometimes give quantum systems an advantage over standard “classical” computers. We will also discuss the current situation and challenges facing experimental quantum computers, as well as the limits of quantum computing. No previous experience with quantum mechanics is required.	https://www.cs.middlebury.edu/~skimmel/Courses/Past/333F19/syllabus.html		Linear Algebra	quantum mechanics, quantum communication, quantum algorithms, quantum cryptography, entanglement, superposition, no cloning theorem, quantum computers, quantum computing, qubits, teleportation, quantum gates, quantum circuits, Deutsch's Algorithm, Shor's algorithm, Grover's algorithm, error correction
31	2.111/8.370/18.435	Quantum Computation	PHYS, ENG, CS	Fall	2020	GR	No	Provides an introduction to the theory and practice of quantum computation. Topics covered: physics of information processing; quantum algorithms including the factoring algorithm and Grover's search algorithm; quantum error correction; quantum communication and cryptography. Knowledge of quantum mechanics helpful but not required.				quantum computation, quantum algorithms, Shor's algorithm, Grover's algorithm, error correction, quantum communication, quantum cryptography
31	6.443/8.371/18.436	Quantum Information Science	PHYS, ENG, CS, MATH	Spring	2020	GR	No	Examines quantum computation and quantum information. Topics include quantum circuits, the quantum Fourier transform and search algorithms, the quantum operations formalism, quantum error correction, Calderbank-Shor-Steane and stabilizer codes, fault tolerant quantum computation, quantum data compression, quantum entanglement, capacity of quantum channels, and quantum cryptography and the proof of its security. Prior knowledge of quantum mechanics required.			Quantum Information	quantum computation, quantum information, quantum circuits, quantum Fourier transform, quantum algorithms, error correction, Calderbank-Shor-Steane and stabilizer codes, fault tolerance, quantum data compression, entanglement, quantum channels, quantum cryptography
